,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
0,SBER,D,20171201,0,224.53,225.76,220.76,221.5,39944560
1,SBER,D,20171204,0,222.0,226.0,219.55,224.6,45046220
2,SBER,D,20171205,0,224.0,224.55,222.0,223.91,27865110
3,SBER,D,20171206,0,222.65,224.9,221.57,223.75,23099150
4,SBER,D,20171207,0,223.83,224.79,219.23,219.81,38205450
5,SBER,D,20171208,0,219.9,223.0,219.61,220.89,28307760
6,SBER,D,20171211,0,221.4,227.69,221.1,227.69,34512300
7,SBER,D,20171212,0,228.92,230.5,226.11,227.9,39576840
8,SBER,D,20171213,0,227.27,228.33,220.54,221.8,61563290
9,SBER,D,20171214,0,222.16,229.9,221.1,229.9,55591560
10,SBER,D,20171215,0,228.91,229.79,225.57,226.53,42473440
11,SBER,D,20171218,0,227.5,228.9,225.7,227.4,24514050
12,SBER,D,20171219,0,227.9,228.5,223.5,224.1,34973820
13,SBER,D,20171220,0,224.45,226.68,222.7,226.0,34146960
14,SBER,D,20171221,0,226.46,227.39,222.35,223.6,34746200
15,SBER,D,20171222,0,223.68,224.64,221.12,221.44,21508710
16,SBER,D,20171225,0,222.22,223.9,221.65,223.3,11153030
17,SBER,D,20171226,0,223.52,223.98,221.0,223.57,12299330
18,SBER,D,20171227,0,224.03,227.2,223.1,226.98,30086500
19,SBER,D,20171228,0,226.9,227.17,223.0,224.2,24042990
20,SBER,D,20171229,0,224.05,226.2,223.27,225.2,18911170
